x fnow fnext h0 vel2
0 0 0 8000 78480
100 0 0 8000 78480
200 0 0 8000 78480
300 0 0 8000 78480
400 0 0 8000 78480
500 0 0 8000 78480
600 0 0 8000 78480
700 0 0 8000 78480
800 0 0 8000 78480
900 0 0 8000 78480
1000 0 0 8000 78480
1100 0 0 8000 78480
1200 0 0 8000 78480
1300 0 0 8000 78480
1400 0 0 8000 78480
1500 0 0 8000 78480
1600 0 0 8000 78480
1700 0 0 8000 78480
1800 0 0 8000 78480
1900 0 0 8000 78480
2000 0 0 8000 78480
2100 0 0 8000 78480
2200 0 0 8000 78480
2300 0 0 8000 78480
2400 0 0 8000 78480
2500 0 0 8000 78480
2600 0 0 8000 78480
2700 0 0 8000 78480
2800 0 0 8000 78480
2900 0 0 8000 78480
3000 0 0 8000 78480
3100 0 0 8000 78480
3200 0 0 8000 78480
3300 0 0 8000 78480
3400 0 0 8000 78480
3500 0 0 8000 78480
3600 0 0 8000 78480
3700 0 0 8000 78480
3800 0 0 8000 78480
3900 0 0 8000 78480
4000 0 0 8000 78480
4100 0 0 8000 78480
4200 0 0 8000 78480
4300 0 0 8000 78480
4400 0 0 8000 78480
4500 0 0 8000 78480
4600 0 0 8000 78480
4700 0 0 8000 78480
4800 0 0 8000 78480
4900 0 0 8000 78480
5000 0 0 8000 78480
5100 0 0 8000 78480
5200 0 0 8000 78480
5300 0 0 8000 78480
5400 0 0 8000 78480
5500 0 0 8000 78480
5600 0 0 8000 78480
5700 0 0 8000 78480
5800 0 0 8000 78480
5900 0 0 8000 78480
6000 0 0 8000 78480
6100 0 0 8000 78480
6200 0 0 8000 78480
6300 0 0 8000 78480
6400 0 0 8000 78480
6500 0 0 8000 78480
6600 0 0 8000 78480
6700 0 0 8000 78480
6800 0 0 8000 78480
6900 0 0 8000 78480
7000 0 0 8000 78480
7100 0 0 8000 78480
7200 0 0 8000 78480
7300 0 0 8000 78480
7400 0 0 8000 78480
7500 0 0 8000 78480
7600 0 0 8000 78480
7700 0 0 8000 78480
7800 0 0 8000 78480
7900 0 0 8000 78480
8000 0 0 8000 78480
8100 0 0 8000 78480
8200 0 0 8000 78480
8300 0 0 8000 78480
8400 0 0 8000 78480
8500 0 0 8000 78480
8600 0 0 8000 78480
8700 0 0 8000 78480
8800 0 0 8000 78480
8900 0 0 8000 78480
9000 0 0 8000 78480
9100 0 0 8000 78480
9200 0 0 8000 78480
9300 0 0 8000 78480
9400 0 0 8000 78480
9500 0 0 8000 78480
9600 0 0 8000 78480
9700 0 0 8000 78480
9800 0 0 8000 78480
9900 0 0 8000 78480
10000 0 0 8000 78480
10100 0 0 8000 78480
10200 0 0 8000 78480
10300 0 0 8000 78480
10400 0 0 8000 78480
10500 0 0 8000 78480
10600 0 0 8000 78480
10700 0 0 8000 78480
10800 0 0 8000 78480
10900 0 0 8000 78480
11000 0 0 8000 78480
11100 0 0 8000 78480
11200 0 0 8000 78480
11300 0 0 8000 78480
11400 0 0 8000 78480
11500 0 0 8000 78480
11600 0 0 8000 78480
11700 0 0 8000 78480
11800 0 0 8000 78480
11900 0 0 8000 78480
12000 0 0 8000 78480
12100 0 0 8000 78480
12200 0 0 8000 78480
12300 0 0 8000 78480
12400 0 0 8000 78480
12500 0 0 8000 78480
12600 0 0 8000 78480
12700 0 0 8000 78480
12800 0 0 8000 78480
12900 0 0 8000 78480
13000 0 0 8000 78480
13100 0 0 8000 78480
13200 0 0 8000 78480
13300 0 0 8000 78480
13400 0 0 8000 78480
13500 0 0 8000 78480
13600 0 0 8000 78480
13700 0 0 8000 78480
13800 0 0 8000 78480
13900 0 0 8000 78480
14000 0 0 8000 78480
14100 0 0 8000 78480
14200 0 0 8000 78480
14300 0 0 8000 78480
14400 0 0 8000 78480
14500 0 0 8000 78480
14600 0 0 8000 78480
14700 0 0 8000 78480
14800 0 0 8000 78480
14900 0 0 8000 78480
15000 0 0 8000 78480
15100 0 0 8000 78480
15200 0 0 8000 78480
15300 0 0 8000 78480
15400 0 0 8000 78480
15500 0 0 8000 78480
15600 0 0 8000 78480
15700 0 0 8000 78480
15800 0 0 8000 78480
15900 0 0 8000 78480
16000 0 0 8000 78480
16100 0 0 8000 78480
16200 0 0 8000 78480
16300 0 0 8000 78480
16400 0 0 8000 78480
16500 0 0 8000 78480
16600 0 0 8000 78480
16700 0 0 8000 78480
16800 0 0 8000 78480
16900 0 0 8000 78480
17000 0 0 8000 78480
17100 0 0 8000 78480
17200 0 0 8000 78480
17300 0 0 8000 78480
17400 0 0 8000 78480
17500 0 0 8000 78480
17600 0 0 8000 78480
17700 0 0 8000 78480
17800 0 0 8000 78480
17900 0 0 8000 78480
18000 0 0 8000 78480
18100 0 0 8000 78480
18200 0 0 8000 78480
18300 0 0 8000 78480
18400 0 0 8000 78480
18500 0 0 8000 78480
18600 0 0 8000 78480
18700 0 0 8000 78480
18800 0 0 8000 78480
18900 0 0 8000 78480
19000 0 0 8000 78480
19100 0 0 8000 78480
19200 0 0 8000 78480
19300 0 0 8000 78480
19400 0 0 8000 78480
19500 0 0 8000 78480
19600 0 0 8000 78480
19700 0 0 8000 78480
19800 0 0 8000 78480
19900 0 0 8000 78480
20000 0 0 8000 78480
20100 0 0 8000 78480
20200 0 0 8000 78480
20300 0 0 8000 78480
20400 0 0 8000 78480
20500 0 0 8000 78480
20600 0 0 8000 78480
20700 0 0 8000 78480
20800 0 0 8000 78480
20900 0 0 8000 78480
21000 0 0 8000 78480
21100 0 0 8000 78480
21200 0 0 8000 78480
21300 0 0 8000 78480
21400 0 0 8000 78480
21500 0 0 8000 78480
21600 0 0 8000 78480
21700 0 0 8000 78480
21800 0 0 8000 78480
21900 0 0 8000 78480
22000 0 0 8000 78480
22100 0 0 8000 78480
22200 0 0 8000 78480
22300 0 0 8000 78480
22400 0 0 8000 78480
22500 0 0 8000 78480
22600 0 0 8000 78480
22700 0 0 8000 78480
22800 0 0 8000 78480
22900 0 0 8000 78480
23000 0 0 8000 78480
23100 0 0 8000 78480
23200 0 0 8000 78480
23300 0 0 8000 78480
23400 0 0 8000 78480
